Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolno�ci wytw�rczych jednostek wytw�rczych w KSE;Suma zdolno�ci wytw�rczych JGWa;Suma zdolno�ci wytw�rczych JGFWa;Suma zdolno�ci wytw�rczych JGMa;Suma zdolno�ci wytw�rczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytw�rczych nieuczestnicz�cych aktywnie w Rynku Bilansuj�cym;Generacja �r�de� wiatrowych;Generacja �r�de� fotowoltaicznych;Sumaryczna moc �adowania JGMa;Krajowe saldo wymiany mi�dzysystemowej r�wnoleg�ej;Krajowe saldo wymiany mi�dzysystemowej nier�wnoleg�ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni�ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci��enia JGOa
2024-05-01;8;13939;30566;21214;-;8;-;5351;5351;-;0;-;9344;3259;3216;80,00;-1374;950;4234;-221;0
2024-05-01;9;15438;30959;21303;-;123;-;5771;5771;-;0;-;9533;1751;4913;106,00;-203;-120;2990;-1455;0
2024-05-01;10;15830;31148;21316;-;577;-;6544;6544;-;0;-;9255;681;5758;106,00;709;-1000;2326;-2094;0
2024-05-01;11;15386;31811;21306;-;518;-;6526;6526;-;0;-;9987;1329;5861;91,00;-606;-1092;2101;-2449;0
2024-05-01;12;15140;33209;21231;-;61;-;5172;5172;-;0;-;11917;1439;7697;351,00;92;-1092;4639;0;0
2024-05-01;13;15006;33045;21206;-;0;-;5226;5226;-;0;-;11839;1296;7768;959,00;104;-1092;4074;-431;0
2024-05-01;14;14628;32405;21196;-;0;-;5241;5241;-;0;-;11209;770;7684;959,00;1062;-1092;4770;0;0
2024-05-01;15;14288;31597;21196;-;0;-;5241;5241;-;0;-;10401;627;7036;956,00;953;-1092;4196;-144;0
2024-05-01;16;14311;31301;21196;-;0;-;5312;5312;-;0;-;10105;1237;6119;771,00;797;-1092;3906;-384;0
2024-05-01;17;15043;31167;21196;-;0;-;5641;5641;-;0;-;9971;2188;4995;335,00;698;-905;3565;-785;0
2024-05-01;18;15197;30786;21291;-;242;-;6354;6326;-;28;-;9253;3573;2797;0,00;512;-723;3055;-1285;0
2024-05-01;19;15976;30576;21301;-;692;-;6864;6375;-;489;-;8583;4095;1553;0,00;751;-400;2640;-1560;0
2024-05-01;20;16146;29562;21366;-;981;-;6919;6147;-;772;-;7215;3974;245;0,00;1228;800;3127;-1128;0
2024-05-01;21;16653;29661;21381;-;1076;-;7355;6554;-;801;-;7204;4132;1;0,00;1102;900;2629;-1701;0
2024-05-01;22;16113;29865;21391;-;996;-;7083;6398;-;684;-;7478;4499;0;0,00;879;600;2812;-1683;0
2024-05-01;23;15204;30728;21401;-;1080;-;6847;6385;-;462;-;8247;5277;0;0,00;-689;900;3008;-1497;0
2024-05-01;24;14207;30700;21406;-;979;-;5995;5814;-;181;-;8315;5404;0;0,00;-900;900;3587;-923;0
2024-05-02;1;13191;29554;21421;-;0;-;5260;5260;-;0;-;8133;5292;0;14,00;-320;305;4227;-298;0
2024-05-02;2;12890;29409;21421;-;0;-;5237;5237;-;0;-;7988;5140;0;22,00;-353;353;4390;-135;0
2024-05-02;3;12698;29297;21421;-;0;-;5249;5249;-;0;-;7876;5028;0;22,00;-881;881;4481;-44;0
2024-05-02;4;12690;29067;21426;-;0;-;5284;5284;-;0;-;7641;4794;0;22,00;-850;850;4293;-237;0
2024-05-02;5;12711;28906;21375;-;0;-;5306;5306;-;0;-;7531;4687;0;22,00;-537;538;4173;-339;0
2024-05-02;6;12539;28590;21206;-;57;-;5309;5252;-;57;-;7327;4413;70;3,00;-98;95;4162;-373;0
2024-05-02;7;13868;29911;21206;-;508;-;5851;5344;-;508;-;8197;4235;1025;0,00;-1127;950;3983;-552;0
2024-05-02;8;14979;31920;21206;-;169;-;5406;5237;-;169;-;10545;3699;3908;16,00;-1394;950;4597;0;0
2024-05-02;9;16323;31926;21191;-;61;-;6197;6197;-;0;-;10674;1816;6041;63,00;-1564;888;2920;-1675;0
2024-05-02;10;15880;32517;21171;-;302;-;6199;6199;-;0;-;11044;1371;6899;71,00;-1336;769;3815;-785;0
2024-05-02;11;14833;32654;21156;-;34;-;5208;5208;-;0;-;11464;2061;6669;119,00;-1209;-168;4409;-176;0
2024-05-02;12;15733;34475;21310;-;0;-;5095;5095;-;0;-;13165;2843;7550;698,00;-1008;-175;4809;0;0
2024-05-02;13;16573;34084;21291;-;0;-;5092;5092;-;0;-;12793;2847;7184;959,00;-592;-521;3331;-1144;0
2024-05-02;14;16863;34997;21281;-;237;-;5098;5098;-;0;-;13479;3301;7421;959,00;-404;-653;3773;-692;0
2024-05-02;15;16045;34610;21281;-;0;-;5333;5333;-;0;-;13329;3556;7017;909,00;-1439;-355;3764;-701;0
2024-05-02;16;16325;34037;21281;-;0;-;5228;5228;-;0;-;12756;3799;6205;459,00;-976;32;4284;-131;0
2024-05-02;17;16423;33265;21281;-;0;-;5575;5575;-;0;-;11984;4226;4971;199,00;-476;-106;4287;-128;0
2024-05-02;18;16841;31464;21286;-;10;-;6962;6962;-;0;-;10168;3975;3313;32,00;-860;650;3228;-1471;0
2024-05-02;19;17032;30466;21356;-;401;-;7822;7581;-;241;-;8709;3814;1924;0,00;-303;857;3193;-1946;0
2024-05-02;20;17838;29510;21366;-;1092;-;10244;9351;-;894;-;7052;3674;318;0,00;-512;950;1276;-3873;0
2024-05-02;21;18270;29090;21366;-;1092;-;10996;10091;-;905;-;6632;3542;20;0,00;-514;950;435;-4714;0
2024-05-02;22;17237;29121;21386;-;1019;-;10114;9402;-;712;-;6716;3669;0;0,00;-488;950;1404;-3738;0
2024-05-02;23;15873;29369;21401;-;997;-;7908;7590;-;318;-;6971;4025;0;0,00;66;950;2230;-2411;0
2024-05-02;24;14462;29261;21401;-;732;-;6472;6472;-;0;-;7128;4178;0;0,00;-10;950;2992;-1513;0
2024-05-03;1;13375;28514;21391;-;0;-;6347;6347;-;0;-;7123;4171;0;0,00;-951;950;3030;-1477;0
2024-05-03;2;12880;28272;21391;-;0;-;5995;5995;-;0;-;6881;3930;0;0,00;-950;950;3284;-1223;0
2024-05-03;3;12587;27851;21391;-;0;-;6097;6097;-;0;-;6460;3511;0;0,00;-950;950;3157;-1350;0
2024-05-03;4;12568;27612;21391;-;10;-;6352;6352;-;0;-;6211;3259;0;0,00;-949;950;2927;-1580;0
2024-05-03;5;12603;27472;21391;-;148;-;6667;6667;-;0;-;5933;2964;0;0,00;-950;950;2613;-1894;0
2024-05-03;6;12208;27385;21391;-;275;-;6512;6238;-;275;-;5719;2660;70;0,00;-953;950;3066;-1441;0
2024-05-03;7;12619;28376;21386;-;395;-;6459;6064;-;395;-;6595;2435;1142;0,00;-1159;950;3440;-1062;0
2024-05-03;8;13305;30436;21376;-;253;-;5368;5114;-;253;-;8807;1888;3877;16,00;-1351;838;4495;-81;0
2024-05-03;9;14751;31180;21366;-;10;-;5968;5959;-;10;-;9804;876;5944;79,00;-1546;350;3045;-1532;0
2024-05-03;10;14778;32809;21356;-;0;-;5639;5639;-;0;-;11453;456;8167;111,00;-2164;350;3998;-567;0
2024-05-03;11;14600;34439;21283;-;0;-;5099;5099;-;0;-;13156;428;9910;149,00;-3370;243;4508;-29;0
2024-05-03;12;14691;34366;21268;-;0;-;5120;5120;-;0;-;13098;660;9632;404,00;-3408;534;4343;-157;0
2024-05-03;13;14639;35179;21258;-;0;-;5120;5120;-;0;-;13921;1168;9983;907,00;-2813;11;4777;0;0
2024-05-03;14;14573;35023;21238;-;0;-;5122;5122;-;0;-;13785;1441;9581;959,00;-2492;93;5039;0;0
2024-05-03;15;14356;33754;21238;-;0;-;5281;5281;-;0;-;12516;1206;8547;959,00;-2518;284;4212;-158;0
2024-05-03;16;14518;31602;21238;-;0;-;5994;5994;-;0;-;10364;1019;6571;557,00;-2305;654;3124;-1246;0
2024-05-03;17;14810;30430;21238;-;0;-;6165;6165;-;0;-;9192;846;5515;93,00;-1322;950;3923;-447;0
2024-05-03;18;15234;28609;21248;-;0;-;7671;7671;-;0;-;7361;760;3617;0,00;-732;950;3394;-1454;0
2024-05-03;19;15422;27321;21311;-;568;-;9572;9376;-;196;-;5442;780;1590;0,00;-586;950;2485;-3019;0
2024-05-03;20;16072;26596;21306;-;987;-;11674;10891;-;783;-;4303;942;267;0,00;-896;918;1157;-4521;0
2024-05-03;21;16635;26566;21241;-;1087;-;12114;11237;-;877;-;4238;1026;2;0,00;-657;938;815;-4798;0
2024-05-03;22;16336;26642;21243;-;1054;-;11826;11069;-;757;-;4345;1193;0;0,00;-622;905;1106;-4509;0
2024-05-03;23;15336;26759;21269;-;1034;-;10964;10508;-;457;-;4456;1360;0;0,00;-1087;950;1161;-4318;0
2024-05-03;24;14139;26881;21336;-;1030;-;8557;8272;-;285;-;4515;1478;0;0,00;237;950;3123;-2182;0
2024-05-04;1;13294;25617;20986;-;43;-;8530;8530;-;0;-;4588;1586;0;0,00;-864;990;2347;-2908;0
2024-05-04;2;12821;25502;20991;-;0;-;8114;8114;-;0;-;4511;1550;0;11,00;-778;1000;2832;-2428;0
2024-05-04;3;12475;25490;20996;-;0;-;7742;7742;-;0;-;4494;1500;0;11,00;-653;1000;3291;-1974;0
2024-05-04;4;12375;25667;20996;-;0;-;7686;7686;-;0;-;4671;1665;0;11,00;-949;1000;3272;-1993;0
2024-05-04;5;12588;25917;21087;-;0;-;7886;7886;-;0;-;4830;1824;0;0,00;-1052;1000;3126;-2139;0
2024-05-04;6;12432;26530;21205;-;398;-;8255;7952;-;303;-;4927;1730;174;0,00;-1765;1000;2969;-2296;0
2024-05-04;7;13675;27531;21331;-;312;-;7945;7633;-;312;-;5888;1546;1290;0,00;-1041;1000;3415;-1845;0
2024-05-04;8;14776;29940;21552;-;19;-;6781;6762;-;19;-;8369;1094;4225;90,00;-1060;1000;4388;-767;0
2024-05-04;9;15716;31617;21542;-;0;-;6373;6373;-;0;-;10075;565;6552;818,00;-1124;1000;4333;-812;0
2024-05-04;10;16152;32889;21527;-;0;-;6244;6244;-;0;-;11362;331;8142;758,00;-1583;580;4349;-981;0
2024-05-04;11;15879;33069;21434;-;0;-;6167;6167;-;0;-;11635;337;8447;451,00;-1684;378;4880;-430;0
2024-05-04;12;15340;31656;21419;-;0;-;6233;6233;-;0;-;10237;354;7117;149,00;-806;-150;4658;-532;0
2024-05-04;13;15908;31034;21409;-;135;-;6163;6163;-;0;-;9490;344;6382;149,00;-195;-454;3640;-1535;0
2024-05-04;14;15593;31101;21404;-;0;-;6180;6180;-;0;-;9697;333;6593;149,00;351;-474;4685;-470;0
2024-05-04;15;15334;30876;21399;-;0;-;6246;6246;-;0;-;9477;337;6372;149,00;248;-191;4965;-185;0
2024-05-04;16;15613;30619;21344;-;0;-;6584;6584;-;0;-;9275;441;6053;117,00;-921;951;4843;-370;0
2024-05-04;17;15869;29315;21079;-;0;-;7560;7560;-;0;-;8236;481;4926;56,00;-950;980;4156;-996;0
2024-05-04;18;16314;28854;20947;-;54;-;8698;8645;-;54;-;7853;456;4359;0,00;-1067;980;4464;-1283;0
2024-05-04;19;16872;26423;20882;-;240;-;11010;10838;-;172;-;5301;443;1768;0,00;-398;980;2855;-3430;0
2024-05-04;20;16953;25826;20867;-;998;-;13033;12323;-;709;-;3961;513;276;0,00;-1050;980;1326;-4967;0
2024-05-04;21;17504;25884;20965;-;1116;-;13761;12702;-;1060;-;3803;613;2;0,00;-1050;980;956;-5362;0
2024-05-04;22;17156;25987;20970;-;1090;-;12887;12036;-;851;-;3927;757;0;0,00;-666;980;1327;-4933;0
2024-05-04;23;15984;25912;20975;-;989;-;10569;10365;-;204;-;3948;875;0;0,00;408;980;1924;-3936;0
2024-05-04;24;14461;25882;21082;-;731;-;8377;8377;-;0;-;4069;1015;0;0,00;1176;980;3582;-2040;0
2024-05-05;1;13534;24952;20608;-;377;-;9276;9237;-;39;-;3967;1053;0;0,00;-1001;980;2280;-3352;0
2024-05-05;2;13230;24768;20618;-;150;-;8598;8598;-;0;-;4000;1095;0;0,00;-318;980;2233;-2947;0
2024-05-05;3;12715;24709;20616;-;0;-;7632;7632;-;0;-;4093;1136;0;0,00;79;980;3039;-2042;0
2024-05-05;4;12609;24774;20608;-;0;-;7628;7628;-;0;-;4166;1208;0;0,00;-195;980;2935;-2138;0
2024-05-05;5;12502;24837;20608;-;0;-;7508;7508;-;0;-;4229;1310;0;0,00;-196;980;3105;-1968;0
2024-05-05;6;11993;25043;20646;-;34;-;7384;7360;-;24;-;4363;1342;90;0,00;-683;980;3290;-1788;0
2024-05-05;7;12457;26199;20714;-;141;-;6936;6831;-;104;-;5344;1290;1111;0,00;-721;853;3722;-1356;0
2024-05-05;8;13053;29219;20818;-;0;-;5888;5888;-;0;-;8401;1233;4230;90,00;-771;301;5232;0;0
2024-05-05;9;13994;29372;20803;-;0;-;5910;5910;-;0;-;8569;683;5062;144,00;-851;381;4391;-667;0
2024-05-05;10;14907;29485;20798;-;73;-;6486;6486;-;0;-;8614;321;5582;149,00;277;-820;3439;-1614;0
2024-05-05;11;14984;30181;20735;-;28;-;6420;6420;-;0;-;9418;445;6271;243,00;78;-701;3972;-1061;0
2024-05-05;12;14497;30771;20730;-;0;-;6027;6027;-;0;-;10041;614;6759;577,00;32;-1062;4337;-691;0
2024-05-05;13;13869;30325;20715;-;0;-;5782;5782;-;0;-;9610;840;6102;738,00;219;-1019;4587;-426;0
2024-05-05;14;14369;30854;20775;-;0;-;5794;5794;-;0;-;10079;1134;6274;749,00;331;-998;4737;-324;0
2024-05-05;15;15023;31423;20715;-;0;-;5840;5840;-;0;-;10708;1365;6667;748,00;122;-670;4796;-217;0
2024-05-05;16;15657;29050;20693;-;390;-;7380;7380;-;0;-;7967;1326;3912;200,00;319;-789;2290;-2813;0
2024-05-05;17;15171;29638;20620;-;0;-;6884;6884;-;0;-;9018;1847;4367;493,00;1069;-1043;4371;-697;0
2024-05-05;18;15640;28174;20350;-;179;-;8209;8209;-;0;-;7645;1867;2935;401,00;214;-200;2971;-2157;0
2024-05-05;19;16142;26395;20245;-;256;-;9400;9274;-;127;-;5894;1736;1210;0,00;246;822;2899;-2667;0
2024-05-05;20;16476;26416;20265;-;911;-;10280;9780;-;501;-;5240;1869;286;0,00;50;817;2541;-3313;0
2024-05-05;21;17278;26398;20318;-;1096;-;11539;10672;-;868;-;4984;1792;2;0,00;-157;873;1945;-4143;0
2024-05-05;22;16963;25856;20057;-;1046;-;11192;10395;-;797;-;4753;1666;0;0,00;-69;980;1893;-3950;0
2024-05-05;23;15845;25845;20154;-;1054;-;11185;10973;-;212;-;4637;1573;0;0,00;-1107;980;1092;-4703;0
2024-05-05;24;14671;25749;20539;-;774;-;9764;9764;-;0;-;4436;1383;0;0,00;-417;980;2909;-3152;0
2024-05-06;1;13651;25312;20700;-;0;-;9037;9037;-;0;-;4612;1653;0;0,00;-950;980;3658;-2500;0
2024-05-06;2;13335;25600;20675;-;0;-;8368;8368;-;0;-;4925;1866;0;14,00;-950;980;4490;-1646;0
2024-05-06;3;13287;25056;20156;-;0;-;8189;8189;-;0;-;4900;1838;0;22,00;-950;980;4282;-1859;0
2024-05-06;4;13225;24762;19842;-;0;-;8282;8282;-;0;-;4920;1828;0;22,00;-950;980;4505;-1637;0
2024-05-06;5;13459;24959;19989;-;0;-;8440;8440;-;0;-;4970;1876;0;19,00;-950;980;4524;-1617;0
2024-05-06;6;14380;25234;20040;-;0;-;8707;8707;-;0;-;5194;1997;99;8,00;-300;949;4559;-1582;0
2024-05-06;7;17750;26536;19677;-;846;-;11273;11158;-;115;-;6013;1884;946;0,00;-512;980;2399;-4128;0
2024-05-06;8;19343;29082;19973;-;1014;-;11050;10841;-;209;-;8095;1528;3393;0,00;-465;610;2953;-3866;0
2024-05-06;9;20172;30351;19921;-;959;-;10616;10452;-;164;-;9471;935;5438;0,00;-392;227;3126;-3641;0
2024-05-06;10;19802;31613;19958;-;343;-;8761;8721;-;40;-;11312;1124;7178;90,00;426;-573;5247;-1557;0
2024-05-06;11;19514;32084;19577;-;0;-;7781;7781;-;0;-;12507;1592;7716;202,00;537;-824;6594;-332;0
2024-05-06;12;19927;32602;19621;-;0;-;8118;8118;-;0;-;12981;1938;7875;654,00;275;-762;6132;-809;0
2024-05-06;13;20299;32577;19386;-;0;-;8566;8566;-;0;-;13191;2115;7902;751,00;70;-761;5485;-1309;0
2024-05-06;14;20267;32372;19332;-;0;-;8478;8478;-;0;-;13040;2275;7662;759,00;154;-626;5566;-1174;0
2024-05-06;15;20140;31361;19281;-;0;-;9174;9174;-;0;-;12080;2385;6576;748,00;-165;-253;4849;-1815;0
2024-05-06;16;20158;30245;19230;-;123;-;10306;10306;-;0;-;10892;2286;5439;585,00;-324;-162;4017;-2571;0
2024-05-06;17;20001;28890;19230;-;176;-;10899;10899;-;0;-;9484;2097;4222;116,00;-537;330;4092;-2474;0
2024-05-06;18;20148;27643;19230;-;188;-;11355;11355;-;0;-;8225;1975;3056;8,00;-448;980;4926;-2676;0
2024-05-06;19;20645;26788;19944;-;421;-;12495;12425;-;71;-;6423;1629;1434;0,00;775;980;4430;-3531;0
2024-05-06;20;21293;25962;19739;-;994;-;15193;14561;-;632;-;5229;1468;296;0,00;-11;885;2033;-5691;0
2024-05-06;21;21514;25543;19722;-;1040;-;15755;15087;-;668;-;4781;1304;4;0,00;-29;946;1372;-6257;0
2024-05-06;22;20476;25275;19530;-;977;-;13758;13414;-;344;-;4768;1317;0;0,00;1123;980;3012;-4396;0
2024-05-06;23;18504;25377;19729;-;990;-;11404;11176;-;228;-;4658;1441;0;0,00;1503;967;4342;-2862;0
2024-05-06;24;16845;25625;19994;-;735;-;10026;9916;-;110;-;4896;1732;0;0,00;917;980;5272;-1857;0
2024-05-07;1;15614;25369;20209;-;3;-;8652;8649;-;3;-;5157;1985;0;48,00;1779;350;6768;-435;0
2024-05-07;2;15290;25824;20344;-;0;-;8682;8682;-;0;-;5480;2305;0;86,00;1181;250;6681;-427;0
2024-05-07;3;14854;26030;20238;-;0;-;8645;8645;-;0;-;5792;2613;0;86,00;644;227;6763;-270;0
2024-05-07;4;14778;26458;20309;-;0;-;8596;8596;-;0;-;6149;2957;0;86,00;559;175;7129;-29;0
2024-05-07;5;14979;26448;20314;-;0;-;8596;8596;-;0;-;6134;2942;0;86,00;546;108;6839;-324;0
2024-05-07;6;15606;26651;20314;-;0;-;8581;8581;-;0;-;6337;3005;76;86,00;1235;108;7104;-74;0
2024-05-07;7;18154;27623;20309;-;39;-;9466;9426;-;39;-;7275;3146;798;3,00;1357;109;5734;-1440;0
2024-05-07;8;20307;30008;20019;-;930;-;11196;10754;-;442;-;9059;2802;2775;0,00;-75;2;3942;-2941;0
2024-05-07;9;20902;31565;20172;-;967;-;11540;11184;-;356;-;10426;2628;4340;0,00;-1419;265;3699;-3344;0
2024-05-07;10;20926;31304;19170;-;692;-;10718;10518;-;200;-;11442;2528;5628;0,00;-1812;455;4226;-2708;0
2024-05-07;11;20615;31794;19232;-;0;-;8736;8736;-;0;-;12562;2671;6626;112,00;-1500;950;6434;-782;0
2024-05-07;12;20790;32581;19227;-;0;-;8577;8577;-;0;-;13354;2546;7590;623,00;-1172;950;6864;-347;0
2024-05-07;13;21020;32167;19234;-;0;-;8949;8949;-;0;-;12933;2262;7472;915,00;-924;924;6149;-1049;0
2024-05-07;14;20303;31804;19159;-;0;-;8864;8864;-;0;-;12645;2264;7193;913,00;-695;695;6514;-609;0
2024-05-07;15;19873;31659;19134;-;0;-;8656;8656;-;0;-;12525;2265;7098;879,00;-662;662;6883;-215;0
2024-05-07;16;19670;30935;19356;-;0;-;9024;9024;-;0;-;11579;2218;6187;908,00;-676;676;6167;-933;0
2024-05-07;17;19442;29603;19430;-;0;-;9893;9893;-;0;-;10173;2217;4718;457,00;-540;493;5466;-1644;0
2024-05-07;18;19688;28521;19548;-;358;-;10863;10863;-;0;-;8615;2210;3122;145,00;-173;482;4654;-2759;0
2024-05-07;19;20304;28201;20082;-;924;-;11796;11796;-;0;-;7195;2211;1575;0,00;988;410;3480;-3511;0
2024-05-07;20;21212;26982;19913;-;1029;-;14305;13487;-;818;-;6040;2165;338;0,00;191;278;1136;-5757;0
2024-05-07;21;21989;26096;19218;-;1036;-;14538;13683;-;855;-;5842;2313;6;0,00;1170;214;418;-6467;0
2024-05-07;22;20463;25689;18951;-;995;-;13387;12673;-;714;-;5743;2326;0;0,00;1052;269;1374;-5175;0
2024-05-07;23;18343;26257;19266;-;980;-;10495;10463;-;32;-;6011;2765;0;8,00;1499;313;3878;-2917;0
2024-05-07;24;16931;26056;19204;-;727;-;8681;8681;-;0;-;6125;2923;0;32,00;1582;600;5656;-1037;0
2024-05-08;1;15684;24737;18966;-;0;-;8402;8402;-;0;-;5771;2719;0;32,00;1174;258;5408;-1124;0
2024-05-08;2;15467;24633;18966;-;0;-;8715;8715;-;0;-;5667;2612;0;0,00;848;254;5224;-1308;0
2024-05-08;3;15291;24477;18971;-;0;-;8824;8824;-;0;-;5506;2447;0;0,00;749;264;5154;-1383;0
2024-05-08;4;15295;24092;18964;-;0;-;8887;8887;-;0;-;5128;2069;0;0,00;957;298;5007;-1522;0
2024-05-08;5;15524;23873;18966;-;0;-;8880;8880;-;0;-;4907;1841;0;0,00;1450;347;5101;-1431;0
2024-05-08;6;16107;23819;18966;-;0;-;9404;9404;-;0;-;4853;1623;115;0,00;1593;273;4532;-1997;0
2024-05-08;7;18536;25360;18966;-;745;-;12017;11788;-;229;-;5649;1371;1154;0,00;573;245;2081;-4441;0
2024-05-08;8;19971;27915;18608;-;941;-;11759;11478;-;280;-;8366;747;4471;0,00;-199;-165;1825;-4537;0
2024-05-08;9;20928;29949;18591;-;889;-;12231;11788;-;443;-;10469;289;7004;0,00;-1096;-835;1457;-4745;0
2024-05-08;10;20566;31408;18498;-;859;-;10670;10380;-;290;-;12051;287;8669;0,00;-2035;-136;2623;-3326;0
2024-05-08;11;19615;31794;18113;-;159;-;7905;7857;-;48;-;13522;356;10112;58,00;-1779;9;4418;-1216;0
2024-05-08;12;19461;32775;18038;-;0;-;7087;7076;-;0;-;14737;452;11240;532,00;-2007;144;4692;-784;0
2024-05-08;13;19580;32790;18187;-;378;-;7745;7745;-;0;-;14225;544;10721;812,00;-2120;-35;3417;-2318;0
2024-05-08;14;19079;32879;18326;-;0;-;6712;6712;-;0;-;14553;732;10880;849,00;-1029;-20;5453;-421;0
2024-05-08;15;18984;33075;18371;-;0;-;6558;6558;-;0;-;14704;951;10597;951,00;-564;-80;6047;0;0
2024-05-08;16;19253;31777;18599;-;0;-;6810;6810;-;0;-;13178;1138;8818;623,00;-302;332;5398;-521;0
2024-05-08;17;19591;30043;18619;-;38;-;8426;8426;-;0;-;11386;1276;6843;11,00;-505;252;4165;-1922;0
2024-05-08;18;19938;28739;18954;-;472;-;9881;9881;-;0;-;9313;1357;4637;6,00;527;227;3366;-2458;0
2024-05-08;19;20276;26915;19210;-;900;-;12211;11740;-;472;-;6805;1376;1941;0,00;813;466;2479;-3701;0
2024-05-08;20;20762;25672;19215;-;1025;-;14135;13135;-;1000;-;5432;1493;353;0,00;533;650;2058;-4636;0
2024-05-08;21;21304;25574;19225;-;987;-;14292;13407;-;885;-;5362;1772;7;0,00;1193;447;1829;-5009;0
2024-05-08;22;20181;25471;19230;-;750;-;12790;12564;-;226;-;5491;1926;0;0,00;1559;492;2839;-4098;0
2024-05-08;23;18434;25178;19302;-;661;-;10224;10224;-;0;-;5215;1877;0;0,00;2814;158;3151;-2968;0
2024-05-08;24;16996;24348;19354;-;5;-;8650;8650;-;0;-;4989;1721;0;0,00;3187;158;4740;-1384;0
